Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Broken Heart Far Left,Broken Heart Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/126584272/broken-heart-far-left,1.7,-1,Boulder,V0-,1,,40.00215,-105.29663,,V0-,
Broken Heart Left,Broken Heart Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/126584291/broken-heart-left,2.0,-1,Boulder,V0-,1,,40.00215,-105.29663,,V0-,
Broken Heart Mantel,Broken Heart Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/126584324/broken-heart-mantel,2.0,-1,Boulder,V0-,1,,40.00215,-105.29663,,V0-,
Broken Heart Right,Broken Heart Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/126584378/broken-heart-right,1.0,-1,Boulder,V0-,1,,40.00215,-105.29663,,V0-,
Royal Jug,Broken Heart Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/126570768/royal-jug,2.3,-1,Boulder,V0,1,10.0,40.00215,-105.29663,,V0,
Broken Heart Far Right,Broken Heart Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/126584427/broken-heart-far-right,2.0,-1,Boulder,V0,1,,40.00215,-105.29663,,V0,
Broken Heart Traverse,Broken Heart Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/126584528/broken-heart-traverse,2.7,-1,Boulder,V2-,1,,40.00215,-105.29663,,V2-,
Rough Cut Left,Diamond > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/127380225/rough-cut-left,2.3,-1,Boulder,V0,1,8.0,40.00245,-105.29679,,V0,
Diamond in the Rough,Diamond > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/127379953/diamond-in-the-rough,2.3,-1,Boulder,V1,1,9.0,40.00245,-105.29679,,V1,
Diamond Traverse,Diamond > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/127380267/diamond-traverse,2.0,-1,Boulder,V2+,1,18.0,40.00245,-105.29679,,V2+,
Mortal Wounds,Dead Elephant > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/201868972/mortal-wounds,4.0,-1,Boulder,V0,1,10.0,40.0014,-105.296,,V0,
