user.name,Buttermilks occurences,user_dict
Kevin Hadfield,33,"{'user_ID': 105937220, 'user_name': 'Kevin Hadfield', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
michael rowell,33,"{'user_ID': 107115541, 'user_name': 'michael rowell', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Ryan Reger,32,"{'user_ID': 200434580, 'user_name': 'Ryan Reger', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Karthik Sonty,32,"{'user_ID': 107183486, 'user_name': 'Karthik Sonty', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Chris Deuto,32,"{'user_ID': 112501386, 'user_name': 'Chris Deuto', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Thrutch,32,"{'user_ID': 111817877, 'user_name': 'Thrutch', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Isaac Roter,32,"{'user_ID': 200176852, 'user_name': 'Isaac Roter', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Tobin Brown,32,"{'user_ID': 200154930, 'user_name': 'Tobin Brown', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Zoey Grinstead,32,"{'user_ID': 111592143, 'user_name': 'Zoey Grinstead', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Antonio Caligiuri,32,"{'user_ID': 108402751, 'user_name': 'Antonio Caligiuri', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Adam Forestier,32,"{'user_ID': 200392723, 'user_name': 'Adam Forestier', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Natalie Gilmore,32,"{'user_ID': 200068701, 'user_name': 'Natalie Gilmore', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Isaac Kroger,32,"{'user_ID': 110244087, 'user_name': 'Isaac Kroger', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
Thais Rose,32,"{'user_ID': 201678094, 'user_name': 'Thais Rose', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
George Halterman,32,"{'user_ID': 200330750, 'user_name': 'George Halterman', 'user_URL': None, 'request_date': None, 'location': None, 'age_at_request_date': None, 'listed_gender': None, 'guessed_gender': None}"
