Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Soggy Bottom,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106455722/soggy-bottom,2.8,-1,"Trad, Boulder",V5,1,15.0,41.1632,-105.37104,,V5,
Cincinnati Sua Slide,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106937009/cincinnati-sua-slide,3.0,-1,"Trad, Boulder",V5-6,1,50.0,41.1632,-105.37104,,V5-6,
The Hatchet,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106457667/the-hatchet,3.7,-1,Boulder,V6,1,25.0,41.1632,-105.37104,,V6,
Bombay Hooker,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106533911/bombay-hooker,4.0,-1,Boulder,V6,1,15.0,41.1632,-105.37104,,V6,
The Bear Flare,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106936959/the-bear-flare,3.0,-1,"Trad, Boulder",V6,1,15.0,41.1632,-105.37104,,V6,
Psychoshop,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105867965/psychoshop,3.8,-1,"Trad, Boulder",5.12d V7,1,15.0,41.1632,-105.37104,5.12,V7,
Guardian,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106169872/guardian,3.8,-1,"Trad, Boulder",V7,1,13.0,41.1632,-105.37104,,V7,
The Red Snapper,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106097769/the-red-snapper,3.5,-1,"Trad, Boulder",V10,1,15.0,41.1632,-105.37104,,V10,
The Borg,Old Easy > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/110467553/the-borg,2.0,-1,Boulder,V12,1,10.0,41.1632,-105.37104,,V12,
Cement Shoes,Holdout > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/117094290/cement-shoes,1.7,-1,"Trad, Boulder",5.10 V-easy,1,15.0,41.15735,-105.37372,5.10,,
Uncle Billy,Holdout > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/110462858/uncle-billy,1.0,-1,Boulder,V0-1,1,10.0,41.15735,-105.37372,,V0-1,
Equilibrium,Holdout > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106039921/equilibrium,3.0,-1,"Trad, Boulder",V10-11,1,15.0,41.15735,-105.37372,,V10-11,
Sky Line,Reynolds Hill > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106429711/sky-line,4.0,-1,"Trad, Boulder",V0-,1,20.0,41.17386,-105.35395,,V0-,
The Fist Crack aka High School Crush,Reynolds Hill > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106430650/the-fist-crack-aka-high-school-crush,4.0,-1,"Trad, Boulder",V0+,1,20.0,41.17386,-105.35395,,V0+,
Peach Cobbler,Reynolds Hill > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106429732/peach-cobbler,4.0,-1,"Trad, Boulder",V1,1,20.0,41.17386,-105.35395,,V1,
Time Quake,Reynolds Hill > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105865800/time-quake,2.0,-1,"Trad, Boulder",V4,1,20.0,41.17386,-105.35395,,V4,
Old Dogs New Trick,Spelunk Spire > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105813842/old-dogs-new-trick,3.7,-1,"Trad, Boulder",5.12- V4,1,20.0,41.17639,-105.34788,5.12-,V4,
Digital (aka Sector 54?),Land of the Rising Moon > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/111930946/digital-aka-sector-54,2.5,-1,Boulder,V6,1,15.0,41.16616,-105.37581,,V6,
Analog,Land of the Rising Moon > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105872962/analog,4.0,-1,Boulder,V8-9,1,25.0,41.16616,-105.37581,,V8-9,
